  dataset        a      v_4       t0       sv      st0      v_3      v_2      v_1  penalty      fit     time   method
 10_errorCoding   1.2579   5.2248   0.3914   0.4145   0.0799   2.7550   2.4583   4.1655   0.0000   0.0173  18.7450       KS
 11_errorCoding   1.5037   3.8172   0.3839   0.0690   0.1083   2.3348   3.1925   4.5784   0.0000   0.0032  10.0670       KS
 1_errorCoding   1.5985   4.0290   0.3770   0.3543   0.0515   2.1220   2.4552   4.2071   0.0000   0.0005  27.1170       KS
 2_errorCoding   1.2812   5.7532   0.3868   0.9856   0.0975   2.7958   1.9986   4.3225   0.0000   0.0012  24.7410       KS
 3_errorCoding   1.0733   4.3267   0.3819   0.3139   0.0963   2.2119   2.2502   5.1581   0.0000   0.0000   6.5670       KS
 4_errorCoding   1.3281   4.0419   0.4005   0.8164   0.1197   2.2967   1.7183   3.7129   0.0000   0.0080  39.4900       KS
 5_errorCoding   1.1130   3.6930   0.3504   1.0927   0.0953   2.4079   2.3317   5.4194   0.0000   0.0000  31.6550       KS
 6_errorCoding   0.7799   4.0188   0.3719   0.0831   0.1125   2.0559   2.0941   4.0112   0.0000   0.0001   3.9330       KS
 7_errorCoding   1.1760   3.3617   0.3955   0.7318   0.1575   2.2717   2.1353   4.7303   0.0000   0.0000  39.2210       KS
 8_errorCoding   0.8525   4.9737   0.3746   0.6153   0.1225   2.6017   2.3404   3.6618   0.0000   0.0297   8.1690       KS
 9_errorCoding   1.0074   3.8772   0.3570   0.6070   0.1092   1.9125   2.0175   4.0073   0.0000   0.0000  16.1700       KS
