  dataset        a      v_4       t0       sv      st0      v_3      v_2      v_1  penalty      fit     time   method
 10_respCoding   1.3379  -5.1501   0.3829   0.7159   0.0676  -2.8009   2.5962   4.1727   0.0000   0.0096  20.0300       KS
 11_respCoding   1.5648  -3.9691   0.3816   0.3954   0.1107  -2.4948   3.3469   4.7380   0.0000   0.0040  18.8310       KS
 1_respCoding   2.3438  -5.0589   0.3361   1.1786   0.0137  -3.2506   3.8824   5.2048   0.0000   0.0000  87.6560       KS
 2_respCoding   1.3947  -6.7226   0.3908   1.5589   0.1275  -3.3279   2.3796   5.0570   0.0000   0.0012  79.1180       KS
 3_respCoding   1.0529  -4.5752   0.3879   0.5651   0.1063  -2.2072   2.2960   5.4559   0.0000   0.0000   9.7740       KS
 4_respCoding   1.3382  -4.0680   0.4000   0.8550   0.1233  -2.3292   1.7410   3.7457   0.0000   0.0083  29.4890       KS
 5_respCoding   1.0608  -3.8431   0.3593   1.1680   0.1008  -2.4335   2.2189   5.7238   0.0000   0.0000  24.8100       KS
 6_respCoding   0.7841  -4.1919   0.3731   0.4677   0.1125  -2.0201   2.1522   4.1671   0.0000   0.0001   6.6130       KS
 7_respCoding   1.2164  -3.9963   0.4063   1.3439   0.1474  -2.3547   2.2043   5.9745   0.0000   0.0000  69.4240       KS
 8_respCoding   0.8632  -5.0831   0.3747   0.8315   0.1225  -2.6700   2.4034   3.7791   0.0000   0.0291  10.3500       KS
 9_respCoding   1.0069  -3.9320   0.3581   0.7035   0.1116  -1.9005   2.0374   4.0596   0.0000   0.0000  13.6810       KS
