context,resp,rt,rt_abs,sim
2,0,-1.0470000000000002,1.0470000000000002,1
2,0,-0.531,0.531,1
2,1,1.436,1.436,1
2,1,1.346,1.346,1
1,1,1.5170000000000001,1.5170000000000001,1
1,1,3.254,3.254,1
1,1,1.723,1.723,1
2,1,0.9550000000000001,0.9550000000000001,1
1,1,1.351,1.351,1
2,1,0.881,0.881,1
2,0,-0.557,0.557,1
2,1,1.962,1.962,1
1,1,1.35,1.35,1
2,0,-0.535,0.535,1
2,1,0.831,0.831,1
2,0,-0.639,0.639,1
1,1,1.0750000000000002,1.0750000000000002,1
2,1,1.743,1.743,1
1,0,-0.644,0.644,1
2,0,-0.679,0.679,1
1,1,0.9239999999999999,0.9239999999999999,1
1,1,1.1560000000000001,1.1560000000000001,1
2,1,1.2530000000000001,1.2530000000000001,1
2,1,1.069,1.069,1
1,0,-0.777,0.777,1
1,1,1.381,1.381,1
2,1,1.06,1.06,1
2,1,1.351,1.351,1
1,1,1.2469999999999999,1.2469999999999999,1
2,1,1.008,1.008,1
1,0,-0.567,0.567,1
2,1,1.149,1.149,1
2,1,1.376,1.376,1
2,1,2.3129999999999997,2.3129999999999997,1
1,1,2.216,2.216,1
1,1,0.906,0.906,1
1,1,1.4580000000000002,1.4580000000000002,1
2,0,-1.135,1.135,1
2,0,-1.397,1.397,1
1,1,1.561,1.561,1
2,0,-0.671,0.671,1
2,1,1.254,1.254,1
2,0,-0.583,0.583,1
1,1,1.258,1.258,1
2,0,-0.615,0.615,1
2,1,1.101,1.101,1
2,1,1.4649999999999999,1.4649999999999999,1
1,1,1.0190000000000001,1.0190000000000001,1
2,1,0.9359999999999999,0.9359999999999999,1
1,1,2.209,2.209,1
2,1,1.731,1.731,1
1,0,-0.9450000000000001,0.9450000000000001,1
2,1,1.565,1.565,1
2,1,1.8820000000000001,1.8820000000000001,1
2,1,1.361,1.361,1
2,0,-0.597,0.597,1
1,0,-0.523,0.523,1
1,1,1.966,1.966,1
2,0,-0.727,0.727,1
2,1,1.263,1.263,1
1,1,1.435,1.435,1
2,0,-1.0110000000000001,1.0110000000000001,1
1,0,-0.794,0.794,1
2,0,-1.1059999999999999,1.1059999999999999,1
2,0,-0.647,0.647,1
2,1,1.17,1.17,1
1,0,-0.629,0.629,1
2,1,0.829,0.829,1
1,0,-0.748,0.748,1
1,1,1.096,1.096,1
1,1,1.587,1.587,1
1,1,1.664,1.664,1
1,1,0.966,0.966,1
1,1,0.876,0.876,1
2,0,-0.533,0.533,1
1,0,-1.7550000000000001,1.7550000000000001,1
2,0,-0.688,0.688,1
2,1,1.6420000000000001,1.6420000000000001,1
