parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,true_param,sim
v_1,0.426,0.002,0.14,0.161,0.33,0.423,0.52,0.704,5323.468,1,1.345,1
v_2,0.25,0.001,0.106,0.069,0.172,0.241,0.319,0.478,6209.064,1,0.828,1
a,1.743,0.001,0.077,1.6,1.69,1.741,1.792,1.904,5468.934,1,1.952,1
ndt,0.413,0,0.021,0.367,0.4,0.415,0.428,0.449,5299.827,1,0.2,1
v_1,0.292,0.002,0.176,0.048,0.157,0.26,0.393,0.707,6435.991,1,1.174,2
v_2,0.196,0.001,0.116,0.035,0.112,0.174,0.256,0.484,7732.388,1,0.963,2
a,0.551,0,0.025,0.505,0.534,0.55,0.567,0.602,5242.608,1,0.625,2
ndt,0.489,0,0.002,0.483,0.487,0.489,0.49,0.493,5195.486,1,0.129,2
v_1,0.162,0.001,0.095,0.032,0.09,0.146,0.217,0.391,7312.065,1,1.247,3
v_2,0.133,0.001,0.081,0.024,0.073,0.118,0.177,0.328,6467.577,1,1.429,3
a,0.842,0.001,0.038,0.773,0.815,0.841,0.867,0.92,4647.247,1,1.449,3
ndt,0.462,0,0.006,0.448,0.458,0.462,0.466,0.473,4701.946,1,0.062,3
v_1,0.172,0.001,0.105,0.028,0.093,0.154,0.228,0.425,7569.131,1,1.186,4
v_2,0.459,0.003,0.214,0.121,0.3,0.434,0.589,0.944,6864.11,1,1.319,4
a,0.73,0,0.033,0.671,0.707,0.729,0.751,0.798,5532.932,1,0.779,4
ndt,0.48,0,0.004,0.471,0.478,0.481,0.483,0.488,5161.089,1,0.167,4
v_1,1.859,0.003,0.235,1.403,1.698,1.86,2.017,2.32,5080.008,1,0.807,5
v_2,2.176,0.003,0.232,1.718,2.022,2.171,2.332,2.625,5467.138,1,1.563,5
a,1.526,0.002,0.116,1.327,1.444,1.515,1.599,1.778,3273.026,1.001,1.535,5
ndt,0.447,0,0.016,0.412,0.437,0.448,0.458,0.473,3605.187,1.001,0.736,5
v_1,0.862,0.002,0.164,0.545,0.75,0.859,0.973,1.188,6630.193,1,1.911,6
v_2,2.408,0.003,0.266,1.896,2.227,2.405,2.589,2.933,6442.635,1,4.112,6
a,1.643,0.001,0.096,1.471,1.575,1.638,1.705,1.847,5143.465,1,1.835,6
ndt,0.499,0,0.012,0.473,0.492,0.501,0.508,0.52,5677.491,1,0.24,6
v_1,2.379,0.004,0.329,1.741,2.156,2.377,2.605,3.019,6451.969,1,2.861,7
v_2,1.192,0.003,0.222,0.76,1.043,1.191,1.343,1.634,6432.816,1,1.687,7
